Poster_Id	ID	Text	Reply_Count	Date
h0gZgmgm	399636926	 the point of the game is productionits clear the point of the game is destruction of white people  production was used to justify it  now that there is no other game it stands on itself  	0.0	2022-10-13 06:43:37
KZfXz9H9	399596001	i mean  idk maybe  lol  my thinking for why it exists is that it has to do with policy  republicans  in the end  are known to support any policy that they believe disproportionately hurts black people  gays or minorities  theyll support those policies even if they hurt themselves  badly   imagine a poor person in appalachia  living in a trailer  and opposing universal healthcare cuz he  dont want no niggers to get it    so people understand that and they say  jesus christ  republicans must really profoundly hate black people   thus the double standard begins to exist for themwhen irl for us on the left  we all understand race tensions  we all understand a lot of difficulty of multiculturalism or why it s hard for people to work through  and even why white people are upset about it  but if a republican ever says the same thing  people tweak 	1.0	2022-10-12 22:28:51
iGMYtpus	401603866	ill try  on points one and two  i think there is objective evidence of a disproportionate  relative to the population  degree of control over certain influential areas  media  banking  govt  etc   that exists for jewish people that does not exist for mexicans or gays  additionally  the promotion of esg and dei guidelines from blackrock  etc   which again are disproportionally controlled by jewish people  is what would contribute to these cancellations  your argument essentially ignores facts  in  evidence  we could dispute those  sure  but your argument fails to acknowledge them   to point 3  i think white people are considered  acceptable targets  under the esg and dei guidelines  so michael jordan may actually keep his brand deal  	1.0	2022-10-26 08:50:59
0YMSNqM3	402959269	 white people are purposefully not being hired for jobs or getting access to jewish capital for startup venturescopeeven elon is hiring indians for stop positions	1.0	2022-11-04 20:23:52
NaMR3UvO	402958882	only because of the jewish anti  white agenda  esg  dei bullshit  white people are purposefully not being hired  so go suck some jewish masters  cocks faggot  	0.0	2022-11-04 20:19:50
VBRq94yV	404332568	white people are obviously smarter if they think that flooding our countries with nonwhites is going to destroy usalso all nonwhite women want white men its self evident everywhere if you have a brain  but maybe you just are nt white enough  	1.0	2022-11-13 21:19:57
RwQEM6IU	404332884	 g  guys  i  i m not racist you got ta believe mei just happen to believe that white people are superior to other races and base my entire worldview on race realismit s like you dont see the irony 	2.0	2022-11-13 21:23:47
	404800502	diversity  tons of brown people of varying shadesequity  sounds like equality  but it actually means giving brown people preferential treatmentinclusion  white exclusionif you see dei  it means they are actively discriminating against white people  	1.0	2022-11-16 19:31:07
	407517374	they re literally doing it again  but this time they re using dei as a shield  muh were helping out poor minoritiesthe same shit is going to happen  the browns will default  but this time instead of predatory lending  honest hard working white people will be blamed in their infinite  irredeemable racism  mark my fucking words 	0.0	2022-12-07 20:57:30
4I5zToMP	409065318	 but i dont think dei has been a significant factor in advertisingoh  it certainly has  the biggest problem is the people spearheading the dei movement are rabidly racist midwits who believe that reality has to conform to some imaginary standard of absolutely equal representation in all walks of life  at this rate  it s only a matter of time before the nba is forced to include pygmies  trannies  women  and quadriplegics on their roster so they  look more like america   oh  wait  the nba is 80  black  so none of the rules that apply to white people apply to them  	0.0	2022-12-20 14:00:21
Djz	397685514	we are against idiotic and disruptive neomarxist identity crises plagued upon us by the militant left in the form of dei  esg and if you are n’t then you ’re around 60 iqif climate change will kill us all  we ’d rather go out swinging instead of killing ourselves to meet the demands of proto stalins like biden or jacinda ardern or trudeauyou made this thread bc you know you ’re a bitch and can not help yrself  it ’s sad to see but i hope your mask protects you more than the shitlib wine moms at martha ’s vineyard who will kick your ass to the fucking curb the very instant that you force them to live up to their utopian idealsenjoy blaming white people and christopher columbus for your inability to amount to something in life  the rest of us will try to create a society with guiderails that prevent us all from going to hell with or without you  	1.0	2022-09-30 10:21:49
SIc8lu4V	410520283	i think that ’s the nyt bitch that is always tweeting about killing white people 	0.0	2023-01-01 16:41:30
j9l7kTns	411836766	my favorite part is when dei is too close to die  the thing they want white people to do  so they change it to jedi because my heckin  star wars 	2.0	2023-01-11 16:39:21
rT53Xeho	411941484	dei and esg is a communist infiltration tool  they are used to subvert the current ruling class  white men  shortly to be white people   	0.0	2023-01-12 12:26:35
