Poster_Id	ID	Text	Reply_Count	Date
Ytn2j	397834023	lots of anons posting itt about “ making it ” in america and how it ’s easier than in europe  whether that ’s true or not  be very careful about whether you want to “ make it ” here  i went down that path and had a very high  paying white collar job in corporate america  it was hellish  the hours were annoyingly long  the free time nonexistent  but that was tolerable  what was intolerable was corporate american culture  forget about the “ old school ” american workplace that really only cared about your ability to create value and provide high quality work  what you have now are extremely cunty combative feminists  affirmative action niggers that will shit test you  especially if they ’re higher up than you  and dei departments that cause every white male to walk on eggshells  if you are a white male in big finance or big law or any other “ prestigious ” field  you are at the bottom of the social totem poleand you ca n’t just ignore it and focus on your work  you will go to mandatory dei training  you will be expected to go to work events where you will be expected to regurgitate the shibboleths of american culture  “ ew donald trump  ” “ ew poor white rednecks  ” “ yas new product  ” “ omg nigger sports ”   if you do n’t participate you are immediately suspect  and then you ’ll really have to walk on egg shells  oh  and everyone is on psychiatric medication  you have to be to tolerate that kind of shit  is that worth hundreds of thousands of dollars per year  for some  i guess  me  i hate it  i hate what america is now and i hope it collapses or is destroyed  it ’s anti  human  anti  white  anti  male  and anti  tradition  fuck this country  and fuck the “ people ” that keep it going so they can collect a few more goybucks to consume  	3.0	2022-10-01 10:01:18
OkOP0cfA	398991684	okay and  when you read history  do figures with the most power in their hands strike you as particularily democratic  and the poeple are an entity capable of many things  of going in many directions  so why would you care about them rebelling over what they re actually rebelling over  because lets put it clearly  there will be no end to jewish power without an end to ngos  to women  controlled academia  and its results like dei   to gibs and to affirmative action  in what world does a nigger seem inclined to want that  absolutely none  	1.0	2022-10-09 03:06:18
nT	402485191	yes  in point of fact we do have de jure discrimination in america  its called affirmative action and dei quotas  	1.0	2022-11-01 14:02:00
7SreKynf	402493349	 in point of fact we do have de jure discrimination in america  its called affirmative action and dei quotasthis is correct use of de jure unlike the spic attempt 	0.0	2022-11-01 15:07:17
QkJImNF	402465530	affirmative action and dei are totally separate now  most colleges do not even consider affirmative action  they just read the portion of their essay that states clearly what they are  	1.0	2022-11-01 11:31:45
QkJImNF	402466433	and that s why it does nt matter if affirmative action ends or not  if the universities want to seek urms to pad administrator pensions and groom them into jobs at the state department or wherever it is that the university social circle conglomerates  they re going to do that  the only way you could stop it is to make them totally race blind by law  but that s never going to happen  	1.0	2022-11-01 11:39:04
39sLra2U	402857467	 it for sure has been demonstrated that the black community got almost zero institutional poweryeah no affirmative action  no dei  no free college  no civil rights movement  no slap on the wrists for crimes  no negro president with gorilla wife  get the fuck out of here  	1.0	2022-11-04 05:14:02
fmBDWDlJ	402874604	those are privileges not power retard  those can get taken away at the tip of a hat and niggers would be back to square one  a nigger ca nt up and decide to ban kikes from media because of affirmative action  idiot  	0.0	2022-11-04 08:05:45
5sj3X6N6	405013064	 their previous affirmative action dei  hired salary is somehow indicative of their value to the companyna  they re worthless and are about to learn the glory of stem in a recession  only the strong survive 	1.0	2022-11-18 10:56:04
At76VMCI	408689955	affirmative action 	0.0	2022-12-17 12:00:21
M0Ak2hov	413800329	 dei job opens up  white women gets itwhite women are the number 1 beneficiaries of affirmative action  	0.0	2023-01-26 23:58:00
9jJ7rGGg	414096772	this is what affirmative action  dei policies get you  if they werent so desperate to have minorities fill these positions  they wouldnt have to relax the standards to this degree  at least two out of of five memphis police officers charged with murder in the fatal beatdown of tyre nichols joined the force after the department relaxed its hiring requirementstadarrius bean and demetrius haley both joined the memphis police department in aug  2020  nbc news reported  more than two years after the department dramatically loosened the education qualifications to become an officerrecruits no longer needed an associate ’s degree or 54 college credit hours to join the force  and could get by with five years of work experience  action 5 reportedloosening the required qualifications however means that the department is ultimately getting “ less desirable ” job candidates  mike alcazar  an adjunct professor at john jay college of criminal justice and a retired nypd detective  told the post  “they’re desperate  they want police officers  ” alcazar said  “ they ’re going through it  they check off some boxes  saying  ‘ ok  they ’re good enough  get them on  ”   memphis  cops  in  tyre  nichols  murder  hired  after  pd  relaxed  job  standards 	1.0	2023-01-29 08:06:12
C2AudoOA	414713137	 the whole point of the slogan is to imply anti  racism and white guilt are the same thingwhen a white person is “ anti  racist  ” they ’re ridden with guilt and self  hatred   right wingers want to dismiss any discussion of systemic racism by dumbing to down to “ we no like wypeepo ” so they do n’t have to engage with itthe only “ systemic racism ” that exists is against white people  as anti  white policies are enshrined in law  pop  culture  and institutional practices  affirmative action  dei initiatives  media for “ ” ” modern audiences  ” ” ” etc  	0.0	2023-02-03 09:20:55
utO3EUDq	414678191	 100000 videos of blacks absolutely destroying white people for no apparent reason0  zero  in reverseusa needs more racial sensitivity training  dei and affirmative action  only way to fix this  it all starts at home  blm 	0.0	2023-02-03 02:10:31
GZ2	415844345	inspector bob white   hey tyrone  did you grease those bearingstyrone   you callin  me a lazy niggainspector bob white   n  n  n00  nooo sir  you pass    the hidden bonus  of diversity  dei  and affirmative action at work  	0.0	2023-02-11 22:25:25
Q	416484607	whites deserve reparations for affirmative action  for integration  for busing  for black crime  for dei initiatives  etc  conservatives call that communism  but will support reparations for niggers as we saw with trumps platinum plan  	2.0	2023-02-16 18:10:11
	416670256	affirmative action  dei hires  	0.0	2023-02-18 07:39:10
AlC7EJ6E	416978771	 halt collection of federal taxes  martial law southern border  stop enforcement of all atf laws regarding firearms  strip fbi  out them as political gestapo they are  strip all federal bureaucracies  release all files related to jfk  move to kick turkey from nato  reduce political and economic ties with israel  repeal andor stop enforcing dei policies  including affirmative action   appoint special counsel for congress insider trading  move nuclear weapons to eastern poland  make sure this is  leaked   move 4th fleet to japan to help stage north korea invasion  fire all military leaders who had their hands in afghanistan  iraq  fire all the  academic generals   no women in combat roles or training  at end of term relinquish presidency of as many powers as possible  assuming relatively peaceful state  	3.0	2023-02-20 16:09:08
HRrFtE	416976680	nuke delawarebig corporate tax hikerevoke womens suffragemandatory daily penis inspectionsforced feminization of all khvs over 20federal abortions ban ex  danger to mothercriminalize offshore cash parking and shell corpsswarms of armed robot dogs along mexican borderban on dei and other affirmative action programmespreventive 40 year parole for everyone born a niggerreplace pledge of allegiance with denunciation of talmud 	1.0	2023-02-20 15:50:14
PLBSd8S	417150418	 people who promote dei  esg  affirmative action  enabling criminals  defunding police  mass immigration to depress wages and make housing unaffordable  a feminist regime to depress birth rates  etc  are not on my side you commie shitalso  they are rich   eg pelosi  biden  et al  	0.0	2023-02-21 22:19:45
xU52P8AM	417051552	oh shit though  this just dawned on me   math and reading is racist  niggers are beyond uneducated  affirmative action exists  racist not to hire niggers  social justice exists  dei exists  voices heard  seat at the table  tm   beyond uneducated niggers now have decision making power in all tiers of societywe are doomed 	5.0	2023-02-21 05:55:02
	417182037	this result is only achieved through the mass handicaps of affirmative action  dei initiatives  demoralization  and censorship  all of which are leftist tactics   it is not a fair assessment of womens ability to outpace men by any stretch of the imagination  essentially  the country and its government has turned on young men  it is no longer representative of their interests  boomers  having thoroughly exploited the prosperous times in this country led by the very ideologies that todays media and academia would label far  right  gifted to the rest of us these mandates  perhaps so that history would pardon them and let them keep the mountain of gold that they now sit on  they made women a protected  privileged super  class of person  and with this power  they have enslaved man  and society is now visibly falling apart for it  	2.0	2023-02-22 05:59:27
	417310270	they discovered white people s greatest terror  being called  racist  and theyve been able to leverage it again  like the 1960 s  like the 1990 s  to grab resources  affirmative action is a jobs program for already wealthy minorities  who want more money and status  theyre terrified that the moneytrain will stop because race has never meant less  so theyre turning up the volume beyond all reason  	1.0	2023-02-23 05:54:52
	417597595	does anyone legitimately believe that the achievements of women are actually earned and not given anymorethis is the legacy of affirmative action  dei  no one will believe the members of such group are competent  the awards given to them will be the equivalent of taking a trophy someone else earned and writing a diversity hires name on it  it is utterly meaningless virtue signaling and a nod to the impossible leftist utopia where women are no different from men  the races of the world are all the same but for a change in skin pigmentation  and family of fags is no different than a heterosexual one  	2.0	2023-02-25 09:24:43
I5rHnNbP	417810236	portland anon herewe need to get together to sue against these anti white affirmative action  dei bullshit  	0.0	2023-02-27 01:37:30
qX6NhYn6	417966534	 now it comes down to doing the long and hard work of taking it backnot really  meritocracy will put them in their place in less than 10 years  5 years tops  all that has to happen is for the gibs to stop  5 years without affirmative action and dei and presto  unfortunately  their rage will intensify  but you guys just have to weather the storm  imagine if de santis  law in florida would be nation wide  not crt in colleges and unis  no funding for black students  fair admissions  one can dream  	1.0	2023-02-28 08:31:09
