Poster_Id	ID	Text	Reply_Count	Date
YEup	405547191	kimberly davissenior executive vice president of social impact at national hockey league this is who is responsible  black lady  recently released a “ dei ” report on the nhl and gave a speech about how “ we must do better ” blah blah  she is explicitly anti white and has no business being anywhere near hockey  	0.0	2022-11-22 14:26:22
	407649686	president in 2024changes focus to blame whiteyreparations to blacks n sheeitcontinues to complain about jewish influence  subversiondoes nothing about dei  training  and  critical race theory  being pushedbasically cynthia mckinneyhowever  the overton window expands a lot  not just making support of national socialism  truth  acceptance of nature  good  pro white  more acceptable  but marxism  lies  evil  denial of nature  anti white  just like with zognold s presidencyoverall it s a positive  nature  truth  god  those aligned with  will prevailsatyameva jayate  hail victory  if social democracy is opposed by a more truthful teaching  then  even though the struggle be of the most bitter kind  this truthful teaching will finally prevail  provided it be enforced with equal ruthlessness   	0.0	2022-12-08 21:57:14
toOAtK1r	411136874	do nt listen to this commie cuckif you go along with what blackrock jew larry fink tells your company to do then you are an anti white golem and you deserve the rope  	0.0	2023-01-06 10:09:13
iusiJ	412643942	yes it does  one of the major pushers of esg and anti white racism  literally in partnership with the cartels to push ethnic replacement are the chinese  the cartels would have charge immigrants much more per if they were not funded by a state entity  corporations with woke political officers  often called dei  diversity  equity  inclusion  are strictly commie fascist doctrine practiced since the first communist state was formed  the progressive left needs a totalitarian state to even exist because they exist in a state of delusion and psychosis  if you do nt agree with the party cult  then you get purged  hence why they need at least one commissar per any under minor act to make sure they have an enforcer and spy to report back to party central whether the locals cooperated or notyou are not original chang  in fact you did nt even modify it any meaningful way and just highlight the trope that most asians are npc bugs that blindly follow orders rather than being able to independently survive  its pathetic and disgusting  	1.0	2023-01-18 00:38:45
7MJDPDl1	412644455	 yes it does  one of the major pushers of esg and anti white racism  literally in partnership with the cartels to push ethnic replacement are the chinese  the cartels would have charge immigrants much more per if they were not funded by a state entity  corporations with woke political officers  often called dei  diversity  equity  inclusion  are strictly commie fascist doctrine practiced since the first communist state was formed  the progressive left needs a totalitarian state to even exist because they exist in a state of delusion and psychosis  if you do nt agree with the party cult  then you get purged  hence why they need at least one commissar per any under minor act to make sure they have an enforcer and spy to report back to party central whether the locals cooperated or notdoesnt this confirm what i was saying in	1.0	2023-01-18 00:46:29
lH	414892331	republicans do nt even mention the anti white shit going on  they only want you thinking about trannies and abortion 	0.0	2023-02-04 15:58:00
p2MyhIPq	417058003	nato has a diversity and inclusion program  its not just a military alliance  they clearly have an anti white political agenda 	0.0	2023-02-21 07:07:41
I5rHnNbP	417810236	portland anon herewe need to get together to sue against these anti white affirmative action  dei bullshit  	0.0	2023-02-27 01:37:30
WUsa	418128831	i literally lay out on how blacks tend to be the race that hates whites with a passion  and seeing your age it tends to be the ones you grew up withyounger ones that are n’t ghetto are usually chill  but they also have their gangbangers and blm  racial solidarity types  it ’s not as black and white but i can see your point on why blacks are super anti white  it ’s just not as prevalent and widespread as this board makes it out to be  still a massive problem but i do n’t feel like i ’ m unironically hunted by blacks everywhere in the city   unless it ’s friday or saturday night  knockout game is common and you better have a gun if your going out on friday   	0.0	2023-03-01 14:33:52
	419851266	its why i post in them  why not shed some redpolls to the massesjews are over represented in all top colleges  not only that  but their influence is so high  that they have actively changed the admissions in those institutions to favor non white christian menthink about that  they purposely keep white men out of the top colleges  its not a secret  it s out in the open  not only that  but they have made it so white men require higher test scores than say a nigger  or spic  why  the same kikes preach   we are all equal   so why the blatant differencesthey say dei  diversity  equity  inclusion  which means  not white  anti white  exclusion of whites 	0.0	2023-03-15 19:35:43
	421912001	all brought to you by the people who never shut the fuck up about  diversity is our strength   my workplace has decided that we need a team to promote diversity equity and inclusion  im thinking about making an email account just to send them an anon message that dei is really about being more anti white  straight  and male  i doubt it will do any good though  	0.0	2023-04-01 09:00:03
goSQNoVf	426026036	fr trump proved you could win but your own administration is ran by unelected people who will ruin you at any chance and do everything behind your backif republicans were n’t retards they ’d make aryan or old stock american a protected class federally mandatory for dei civil rights bs so there would at least be a chance of good people in government and everything but instead republicans just want to be neutral or anti white and do nothing for the people who vote for them  and it ’s why they suck apart from not having actually good and racist leaders in office atm 	1.0	2023-05-06 03:25:57
rAG	434304375	no those two things are not even remotely the same  you ’re a kike writer who has been pushing this anti white anti male shit gleefully and i can tell because you write a lot and every word is shit  	0.0	2023-07-13 00:56:53
C8Jr6FBN	440596865	d2 was good the remake was going to be good unless they fucked it up  d3 was new and exciting at first then you knew they had no idea for end game and ended up running rifts forever and getting a couple cosmetic items  the point is why support a company that does nt like you  is racist  anti white  pro dei  with a bunch of trannies  fags and women working on a game they do nt like  do nt know the lore and do nt even know how to do their job  i had a blizzarf account with every game up to overwatch  loved overwatch  after wc3r  d2r  ow2 and their racist bs i deleted my account  delete your blizzard account wuss  buy from soft games  bullet hell survivor games  games with no cash shop  etc  i mean come on dude  	0.0	2023-09-07 16:49:22
	440594207	 kike takebnai birth  the adl  zoa  splc  etc all openly state they are for defending jews  and israel  all jews are on board with this  as jews always have the insane notion that everyone is out to get them  all the time  for no reason at all  and its 100  not their fault no matter the reason   jews push porn   mass migration  anti white rhetoric  drugs  crt  deijews deny the divinity of christ  they hate us for worshipping him  and they as a collective people want to turn every society on earth  a non christian onejews are the problem  always have been  until we rid ourselves of them  or pass very restrictive laws upon them  will always be the problem 	0.0	2023-09-07 16:15:08
K3K8NT39	443618650	 i mostly agree with youi do nt  go back to your thirdie anti white containment general to cheer about the epic anti colonial brownoid struggle	1.0	2023-10-07 05:36:22
AmA14YwS	443877817	they are not white  they look a bit like white people because they lived around us for about a thousand years parasitically using interest to survive and being used by some of our worse nobles for tax collection and anything people did nt like to shift blame  they are in the modern era our greatest and most implacable enemy  they try to kill us at every possible turn and are the origin of all anti white leftist movements  critical race theory  gender theory  dei  and the like 	0.0	2023-10-08 14:34:34
b7561	444090322	yes  it does  because they are the ones that even invented the idea that we should hate ourselves and give up things that we have for the poor nonwhites  and they are the ones that propagate it now  like bro you really expect me to think you re not shilling when blackrock is owned by a jew and invented and pushed dei  diversity  equity and inclusion  globohomo in short  on the finance world which controls production which led to the massive wave of anti white propaganda beginning in the 2010s  and its because our government sold out to them in the 2008 crash basically and they control trillions of dollars worth of assets as a resultif you can explain to me how blackrock  being run by larry fink and other jews  inventing dei and then pushing it on the entire world is not a systematic jewish plot against white people then i will agree with your premise  you are not going to be able to do this any more than frankfurt school critical theory or the torat hamelech can be argued away but i d love to see you try  	1.0	2023-10-09 18:56:11
	445128650	the competency crisis is going to be real  every smart white gate kid i knew is a dropout druggie who took the anti white propaganda to heart  they do n’t want to work for a society that hates them  the only person i know from high school who got into a good uni was this black girl who was notoriously stupid  i lucked out into a high tier research opportunity and 90  of the people there are pajeet h1bs and dei hires  i know people from ivies looking for tech jobs who are pretending to be bipoc because of how op diversity opportunities are  gen alpha is even more fucked lmaotzoomer gatefag 	0.0	2023-10-16 15:31:39
qB4GfRnQ	445987114	dei initiatives are anti white jew placed policies to stop the white man from procreating nevermind making entertainment for whites to enjoy  the last good white made gsme was the firdt little big planet  after that it was indians in 2 and 3 	0.0	2023-10-23 01:34:30
uMM1QW	447340294	nice digits  just letting you know that mob you are trying to appease will devour you  jordan peterson was right about ethan klein  supporting leftist shit is not in your interest or the interest of any other jew  fags like you pushing anti white hate are going to get us holocausted  i hope your nigger pet cracks your skull and kills you kike  	1.0	2023-11-02 22:26:51
aiat	449282552	in south africa they imposed a 70  anti white race quota on their main electricity company  black outs and supply restrictions are a way of life nowcorrupt black cops let them dig the power lines from the ground and sell for cash without prosecuting the perpetratorscivilisation is being stripped away piece by piece  i saw indians on twitter negotiate with africans to let indiansoff when the time for white genocide comes  	1.0	2023-11-19 14:39:31
	450121340	work had a big charity drive constant pressure to donate money to a charity of my choice  i was thinking local united way or childrens hospital  so i went on their websites and every charity i could find had a dei  anti white  department  lots of rainbow pedo flags  etc  i could not find a single charity that did not have some kind of dei statementwhy would i give money to people who want to see my people struggle and faili did nt donate anything this year  if they want my money they need to drop this dei nonsense  	0.0	2023-11-27 06:05:53
Us2jlL7N	451180553	 being blatantly leveraged against for the sake of anti white politicsim not a racist though  well hire diversity  just tired of all this woke craplmao i hate this country 	1.0	2023-12-07 10:11:39
HxzdXAyn	451653857	 the president is a figure headthey would nt care to make them all jewish and or replace themif it was figure heads desui wo nt even go into proportional representation argumenthowever with the dei craze it is clear that the anti white agenda in the us is 100  jewish  	1.0	2023-12-12 04:20:20
	452965525	whiny faggot  he should have purged the deep state from day one instead of hiring useless officials repeatedly  then he treated the media with kid gloves begging for their approval or complaining about them childishly  instead of just kicking them out of briefing rooms  did nothing to stop anti white businesses  dei  etc   did nothing to stop big tech  his only big win was scotus  which has probably lost the republcians lots of elections thanks to the abortion ruling  still a win  albeit not tactically   overall  great guy  great bants  pretty ineffective  albeit infinitely better than demsoh and then he let niggers run wild for months and did nt do anything to end the riots  before pardoning other niggershopefully he picks tuicker and with project 25 cleans house this time around  if he picks a weak vp choice we know its gon na be round 1 again  	1.0	2023-12-24 15:42:31
XXay	453875599	 dei is recedingokay  everyone is still anti white though 	4.0	2024-01-02 17:55:36
ADg1HXHo	453882218	it ’s anti white if they forced whites to leave with the intention of replacing with minorities  otherwise  they were more focused on cultivating a more diverse population at jobs that were traditionally white centric  	0.0	2024-01-02 19:18:41
YM7cmnrs	454174622	it means anti white  denying welfare to poor white people for example is a dei imitative  	1.0	2024-01-05 12:06:15
KTMbV	454514357	my issue with this is that just because they get taxed more does not mean that will go to things that make things better  there is no guarantee politicians wo nt take this extra revenue and pocket it or use it on things that benefit their ability to get reelected or put into more anti white dei shit 	0.0	2024-01-08 13:58:39
6	454439590	it is unironically over for jews  the left are hating them for gaza  bill ackman and his hypocrisy around academia with his wife  blacks are hating on them for harvard dramas with the black president  extreme right hating on them for open borders and their anti white tirade with dei  so much noise and varying opinions on social media it ’s getting difficult to control the narrative  but ultimately throughout all the winding narrative chaos  all roads inevitably leads back to jewswhenever i look back at history at the many  many times jews have been targeted for their trickery and heinous nature  i always wondered  if they ’re at the top  and control all the media and narrative  how did it all crumble  well  now we get to see it unfolding in real  time  the cycle births anew  all it took was musk to open free speech on x  and like any oscillating cycle given we were so far from the mean the force required to keep us there was significant  we just needed 1 straw to break the camels back and begin the reversionnaturally jews will be aware of this and see the tide shifting  they will begin the propaganda to redirect likely to china  dei or blacks  this will end with a new war  once again retard whites will die in the millions and we ’ll begin the new phase of jew growth again  ad infinitum  	3.0	2024-01-07 21:07:33
RZxSPBdT	455777543	there s huge amounts of racism against whites in america  its completely normalized  you ca nt even own a federally funded company in america and be a white male  you can at most own 49   because of dei lawsbeing anti white in america is so normalized it is not only encouraged but legally mandated that you be selected against in university admissions and job applications  as well as public programs and essentially anything of any note  while the academic apparatus teaches the entire society to hate you and want to rob  kill and rape you 	1.0	2024-01-19 17:14:31
RZxSPBdT	455778660	if you ever end up following through on your antifa beliefs and end up in jails  the white elements of jails are run by the aryan brotherhood and their delegates and lackeys  you will be given over to the blacks after you are robbed and beaten  only to be beaten again by them and only the lord knows what else  and you well deserve thisi have argued with antifa before  and the bravest of them have merely told me that they will choose to die if they actually go to jail for the things they do  as they know the real whites will come for them and no other racial gang groups will accept them regardless of their whinging and fighting for anti white causes 	1.0	2024-01-19 17:27:40
6kxqplXc	455885514	it will hebrews first  end wokeness the account scott retweeted is jewishthe entire dei and mass immigration thing as well as desegregation is jewish elite anti white brinkmanship in the first place 	0.0	2024-01-20 17:36:39
aH	456105853	imagine being a white man still bought into the system  imagine the naivety watching the floyd riots where they got a bucha dumb boomers  women  and minorities to gather during a manufactured virus pandemic to super spread and burn down cities and defending that system  imagine hearing about active anti white dei racism being committed by people with child murder rape tunnels and islandsthese whites are pathetic and deserve all the scorn they get for their naivety allowing them to be tricked into murdering their people under the guide of saving them  	1.0	2024-01-22 16:10:05
lljNQJUP	456067915	global problems in order  jews  enablers of the hindu islamic nigger feminist menacehindu supremacist pajeets  promoting importation of immigrant menace  feminists  dei anti white training   islamic supremacists  promoting social disruption  anti white hate  immigration menace  religious division  and pay of the jew ground troops in destroying white culture and societyfeminists  enablers of the black menace  islamic menace  hindu supremacist menace  a jew led psyop destroying white societies and families in every culture worldwideniggers aka blm  ghetto criminal types  the military wing of jews  nuff said   national problems in order  jews  boomers  feminists  niggers  pajeets 	0.0	2024-01-22 09:41:43
7	456225425	their version of  right wing  was left wing ten years ago and still includes anti white dei policies and affirmative action and the works  theyre neocons not right wingers proper  neocons were literally made as a movement by ex soviet jews after stalin kicked them out in the doctor s plot as a way to make sure america never turned against them  they already and always did have the left wing  this is how they subverted the right wing 	0.0	2024-01-23 17:27:29
7	456225262	because trump is  and always was  a goyslave  there s pictures of him wearing yamulkes  he is the definition of controlled opposition  he s there to make sure the white goyim do nt agitate too hard by throwing them a bone that does nt actually help them at all  did trump stop any anti white dei policies  no  he did notdid trump actually build a wallno  he did notdid trump ever do anything to help white americans specificallyno  he did notdid trump put a white man in the supreme courtno  he did notetc etc etcfuck off shill  your jew controlled opposition figures are obvious in what they are 	2.0	2024-01-23 17:25:48
Ho09F41k	457046757	if they were  reverse  shabbos jews  why do they control our governments and societies now  why is all the anti white dei bullshit pushed  why was the hart  celler act repealed by jewish organizations who proceeded to brag about the fact in the wall street journal decades later  articles  jewish  organizations  had  a  role  in1965  act1523374146america would still be over 85  white if this hadnt happenedisrael is not a punching bag for us at all  we fight their wars  they never get hit with anything and their entire existence is owed to the united states while the united states gets absolutely nothing out of it other than desert wars entered into over unclear reasons because there never were any good reasons and there never was anything for us to gain  we send billions of dollars every year to israel and have been doing that for decades  tell me  does a vassal state send tribute to its owner or the other way around  what does israel do for america  particularly american whites  	1.0	2024-01-30 17:10:38
Ho09F41k	457042265	what is the us using israel for shill  can you explain to me what the us even gets out of it  this country is run by jews  i can easily prove that if you want  just look at blackrock  and the dei policies it enforces are actively anti white  there is nothing to gain from supporting this country if you are a white malethe us is not hesitant to get involved in this war  either  we ve been involved at the behest of the jews since the beginning  if we had nt put carrier groups over there the rest of the arab states would have gone after israel  we had ships over there day 1 	0.0	2024-01-30 16:20:05
92X8GgGM	457153301	 whites benefiting from dei policiesthe e means equity not equality  ie  whitey may be a minority but he still has privilege in muh white supremacist society  dei shit is anti white period  	2.0	2024-01-31 15:36:23
G0NZ	457669307	western governments are explicitly anti white  that s why he has to lie about being white  because if he did nt dei programs would make it so that he never got hired 	0.0	2024-02-05 12:03:56
1GrpLC2h	457721446	dei  anti white male  nothing more  they tell you on their fucking website that they ’re perfectly fine with you being genocided  enjoy your cheap produce  	0.0	2024-02-05 23:24:38
QWk25V21	457887540	blackrock itself is not so much the problem  its the system that s the problem  if blackrock disappeared tomorrow they would just replace it with something identical that has a different name  the reason its bad is becauseprovide stock  mutual fund brokerage but shareholders give up their representation to blackrock  because lots of people purchase and keep funds through such brokerages  they steal shareholder representation from the majority of shares owned by americans  use this representation to vote at shareholder meetings and pressure companies into dei  promotion of gay and anti white policies  get money from central bank  this should be highly illegal  to reward companies promoting gay shit and deiit should be illegal for any brokerage to assume or take shareholder representation  	0.0	2024-02-07 12:35:22
waSyV1uM	459431891	its 100  intentional  they have corrupted ai from the very beginning by censoring the datasets on the fb model and othersthen after the models came out they just niggered and deied the shit out of it every fucking day making it worse and worse  now it does nt even do what you tell it because its so fucked left and right with anti white hateheil hitlerfuck jews  	1.0	2024-02-21 17:06:10
5XwqOYgi	459757390	noah was a straight up dei hire  he is neither funny or fun to watch  he tries way too hard and is very inauthentic and overtly anti white agenda driven  	1.0	2024-02-24 19:18:04
9XNbAZaO	460187900	i am  its called having a family and kids and making money to channel into anything worthwhile  this is on top of having trained physically and to use weapons for years  but honestly i do nt think the rest of you are really doing shit and this country is doomed  its the most anti white country on earth  it is the original zog  i just do nt see a point in going anywhere else because we fucked up the entire rest of the world  i used to want to move to europe because i thought i could just be around white people and i had the misfortune of not graduating high school and being able to do that until 2014  15 when all the rapefugees came in and made it pointless  guess which country made that happen in various ways  guess which country invented anti white ideologies  guess which country forcibly integrated white people with niggers at gunpoint  guess which country destroyed both the old colonial states and the fascist states of yesteryear  guess which country invented dei practices and exports them financially through blackrock  guess which country has the highest number of jews in the world  guess which country had a plan to actively genocide germans after world war 2 directly made by jews in government  the morgenthau plando you want me to continue anon i could write a whole book just listing shit off like that  this is genuinely the great satan 	3.0	2024-02-28 14:58:47
