Poster_Id	ID	Text	Reply_Count	Date
	398883582	 sex and stable societies  12stable societies have to find a way to pacify young men  for the abovementioned reason that young men are the only known cause of violent revolutions  if you piss off enough young men  your civilization does n’t survive  throughout history  countries have found different ways of doing this  empires typically send their young men off to conquer foreign land – this is what the british did  and what the japanese did after the rice riots of the early 20th century  send the angry young guys to kill foreigners and take some land for themselves  modern  non  colonial nation states do n’t usually have this option  they have to calm the guys down another wayone traditional way is marriage  get the guys married  ideally in a 11 ratio  and things calm down a lot  polygamy typically creates unstable societies  look at the constant strife in the middle east as an example  if 3 guys out of 4 ca n’t get a wife  expect constant violence  suicide bombings  etc  similarly  noncommittal relationships tend to be associated with very high rates of violence  look at the west african matriarchal societies  where men do n’t stay with their pregnant partners  and instead form rotating circus of bandits  rapists  and murderers  these societies never invented the wheel  the plough  the sail  or a written script  and today enjoy the highest rape and murder rates on the planet  this is almost certainly because of the constant havoc caused by angry  unanchored  deracinated  alienated men  none of whom had fathers  tragically  this pattern that has been nearly  identically reproduced in black communities in baltimore  east st  louis  detroit  etc   communities that blm is conspicuously silent about  because blm is a managerial project for increasing the number of white  collar administrators in public and private institutions  not a project to improve the lives of black people  	2.0	2022-10-08 09:38:59
	400054700	 indian and asian management vs hr departments trying to push deitfw indians and asians save the west  	0.0	2022-10-16 00:10:31
A1qYmTXF	403026430	 if i had those things i d fuck off toooh my sweet summer child   “ under such circumstances can we think ourselves undeserving of god ’s severe punishment when we ourselves continually so punish the poor  can we believe that god ought not to exercise his judgment against us all  when we are constantly unjust  for where  or among what people  do these evils exist save only among the romans  who commit such grave acts of injustice as ours  take the franks  they are ignorant of this wrong  the huns are immune to it  there is nothing of the sort among the vandals  nothing among the goths  for in the gothic country the barbarians are so far from tolerating this sort of oppression that not even romans who live among them have to bear it  hence all the romans in that region have but one desire  that they may never have to return to the roman jurisdiction  it is the unanimous prayer of the roman people in that district that they may be permitted to continue to lead their present life among the barbarians  ”  de gubernatione dei  de praesenti iudicio   lib v  salvianus  ca  ad 440  the great tragedy of our times is that we do not have the “ barbarians ” to whom we could flee from the oppression of the    west     iran  north korea  let them who desires to do so  but not me  many in the west believe that russia is such saviour  i believe very few would find their hopes justified if they were to relocate into the mighty expanses of that country  hungary is the only country that could actually boast this title of modern “ barbarians ”  but  being properly “ barbarian ”  they seem to be interested in preserving their country for their own nation  not for the masses of who knows what kind of refugees  besides  i ’ m not an emigrating type  to abandon the land of my ancestors would be contrary to everything i believe in   liber exitii  vol ii 	2.0	2022-11-05 09:54:57
eSNVPtNx	406034403	fortunately  i m black  pilled and therefore successfulby design  we ca nt buy new toilets that flush properly because of agenda 21 2030we ca nt defend ourselves against aggressors  because the criminals need our wealth  and democrats sympathize with thieverywe are shamed into existing through dei and esgwe have many limits to freedom in the west  but leftists spurt out the longest creamy lines of cum just fantasizing about chinese social credit systems  	0.0	2022-11-26 12:44:52
sU4v4ZRr	411944878	 idk about being white men  but having a separate members only economy is possible with todays technologydei will eventually reveal itself to be about black supremacy  but that wo nt stop it from being an integral part of how every major institution in the west operates  white men are currently deis main target  but that will spread to other groups over time  	1.0	2023-01-12 12:56:20
	412625397	 they still had a free market  they never took over private businesses and made them state ownednot on paper  no  but the government effectively did own all of the businesses  you had to have your requisite nazi party member in a high position in the company to monitor you  much like how every company in the west needs someone from the dei cult in a high position in their company  they also limited what could be produced  and the economy was centrally ran  that s why it was in such shit shape  for most of the war  the nazis ran a zombie economy  an economy that was already dead but still limping along until it hits a hurdle and collapses   you still had private property rightsto an extent  you could own a screwdriver  hell  you could own many screwdrivers  however  you were only allowed to own one kind of screwdriver  all produced by the same company  since hitler did nt believe you needed 2 different companies making screwdrivers   travel was not restrictedunless you were part of the government or an employee of the government  you were restricted on where you could go   they were against degeneracythey were just as culturally degenerate as the soviets  have you ever heard of prora  they followed the same brutalist  anti  human design aesthetics that the rest of the socialists didfascism is just honest socialism  	1.0	2023-01-17 20:15:22
7MJDPDl1	412646258	you re a massive inbred faggot with literally no reading comprehension  i never said that progressivism is a good thing  only that the current efforts against it are ineffective because they are  i deal with is  not ought  and the reality is that progressivism has all the power in the west and formulating sophisticated copes to ignore reality helps no one other than the progs  	1.0	2023-01-18 01:12:17
	413301381	also this doublethink  either the west is run by unelected deep state politicians that tend to their flock of sheep or the people have a voice and it will be heard and hecking vox populi vox dei this is just like a ya novel  one or the other  not both  	2.0	2023-01-23 07:14:21
MDlCDFn9	413299341	i think we have to try our absolute hardest  whether it will work is another matterviktor orban in hungary has the right strategy  but hungarians are naturally more conservative than americans or brits  whilst orban probably does genuinely believe in social conservatism  he s also doing it because he knows its popularin the west  there will need to be a societal wide transformation  we need to immediately defund all of the organizations that teach young people to hate their country and believe in gender ideology  we need to change the laws rapidly to remove all dei woke bullshitwe also need to gain control of the mass media  not only should esg be banned  but certain companies like disney should be nationalized and forcibly broken up to set an example to others that the state will destroy you if you ever become woke  	0.0	2023-01-23 06:51:11
	413593673	 they re not discriminating against applicants based on skin coloryeah no  they re discriminating based on race  this is the same shit that led to the subprime mortgage crisis of 2008  but they re tripling down on their commitment to dei  the same thing is happening in every institution across the west  they want equality of outcome at any cost  	0.0	2023-01-25 10:58:18
